Latent_factors,Iterations,Learning_Rate,Regularization,Convergence,RMSE,MRR_5,MRR_10,NDCG_5,NDCG_10,History,Time,IterPerformed
5,20,0.01,1,1e-05,3.4081111662502064,0.02704135737009544,0.036518877611136355,0.023478802019701633,0.03359815954726966,"[3.4475277287342165, 3.424752784798732, 3.4112735973692847, 3.400841690684169, 3.3926765593418002, 3.384897559589325, 3.380058481409549, 3.3733468957235258, 3.372493188282841, 3.365790344696495, 3.3648505782463505, 3.358727443683255, 3.3567275849095584, 3.3546057207361737, 3.3514843750649863, 3.3498267361852405, 3.349024987665302, 3.3456781170491103, 3.3454435544743526, 3.341797516367934]",30.0237934589386,20.0
5,20,0.01,1,0.001,3.4141857487549787,0.019282431954754327,0.029448400074062853,0.021601421288783326,0.033970131722992326,"[3.447510545021632, 3.4245386266824513, 3.4095063790281763, 3.3986543505321354, 3.392075402241932, 3.3853857026151712, 3.378680110071132, 3.3735124168668196, 3.368955840189057, 3.3653715584388952, 3.361968707990261, 3.360487555067697, 3.356611573794572, 3.3540917750071206, 3.3526151024760793, 3.3485506943717054, 3.3479711131371004]",21.57380986213684,17.0
5,20,0.1,0.01,1e-05,,0.0,0.0,0.006127292662041702,0.007123895199632917,"[3.447477734944034, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",24.527501106262207,20.0
5,20,0.1,0.01,0.001,,0.0,0.0,0.006127292662041702,0.007123895199632917,"[3.447625401239003, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",23.49500012397766,20.0
5,20,0.1,0.1,1e-05,,0.0,0.0,0.006127292662041702,0.007123895199632917,"[3.4475494194235523, 3.3291748886252375, 3.3006687170050273, 3.2966186386585155, 3.2719549709433466, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",23.962228536605835,20.0
5,20,0.1,0.1,0.001,,0.0,0.0,0.006127292662041702,0.007123895199632917,"[3.4475738405629777, 3.328645990701511, 3.3019614817530316, 3.282755133008189, 3.269905588503944, 3.2610112619008773, 4104920.694093381, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",25.037348747253418,20.0
5,20,0.1,1,1e-05,3.361365380700228,0.00035348179568752205,0.0041942298304970625,0.00017983043757879963,0.003278208060845756,"[3.447504024988921, 3.351924875635095, 3.347735845045416, 3.3265591208109604, 3.3273554594730745, 3.3305856694020477, 3.32283003605465, 3.309515970216934, 3.319665433424318, 3.306817796773654, 3.308719626352082, 3.3086656610416516, 3.3032636384468583, 3.301123327888276, 3.310635242221497, 3.30963932987769, 3.310170414294047, 3.305508164162274, 3.3106790877155543, 3.2944182858064304]",26.34725022315979,20.0
5,20,0.1,1,0.001,3.3960815460203944,0.017656415694591726,0.02172271877998283,0.014382390906849587,0.01706009176336694,"[3.447526125845075, 3.366650475565177, 3.3351560396130493, 3.33016208060186, 3.3294905858612314]",5.390646696090698,5.0
10,20,0.001,0.01,1e-05,3.4636817188276945,0.09217037822552139,0.10210658317763303,0.05200655761589318,0.052806573217298404,"[3.446556275420088, 3.4446591928028822, 3.442465954635218, 3.4398315084635507, 3.437096754383213, 3.4340798307561125, 3.4310101356421288, 3.4278952224221952, 3.4248454815867935, 3.4218402577753784, 3.418848701785873, 3.416062400753013, 3.4133315511361246, 3.410647717038538, 3.408051462859075, 3.405558779513321, 3.40317184341289, 3.4008239575286967, 3.39855398002116, 3.3964207732790284]",24.78027057647705,20.0
10,20,0.001,0.01,0.001,3.463590250345269,0.08891834570519618,0.09954131528892929,0.05227655649385346,0.05257145386690476,"[3.446548141267342, 3.4446816499892416, 3.4424117652553856, 3.439757059024623, 3.4369326868592545, 3.433953675766689, 3.430855916201619, 3.427749857391106, 3.4247726726276775, 3.4217895826977993, 3.418858158097763, 3.415988338208019, 3.4132345860507556, 3.4105766800685955, 3.4079905763580727, 3.4055215876506617, 3.4031128395094963, 3.4007693084350663, 3.398517954102927, 3.3963413307582386]",23.83492136001587,20.0
10,20,0.001,0.1,1e-05,3.466208002355486,0.0863025804171085,0.09801503139254994,0.04850736002299216,0.05160243793845158,"[3.4465131379755998, 3.4445739993986466, 3.4423426535901926, 3.439787970251973, 3.4370167621072634, 3.4340853312733897, 3.4311188553564698, 3.428181271849154, 3.425317070389633, 3.422569585116534, 3.4198311551328393, 3.4172044475658905, 3.414644638142264, 3.4122017033485728, 3.4098075906475454, 3.407544764041075, 3.4053726004229263, 3.4032371050315104, 3.401235084844574, 3.3993106088022405]",23.355949640274048,20.0
10,20,0.001,0.1,0.001,3.466215759092318,0.08609049133969601,0.0982018717702705,0.04909746056475665,0.051538227288774725,"[3.446567951905342, 3.44467969784339, 3.442457688733146, 3.439938444461247, 3.4371409145019, 3.4342517309546503, 3.431306564414932, 3.4283136844215876, 3.4254088528636366, 3.4226189104379103, 3.419844239069977, 3.417198206460472, 3.4146369732935016, 3.4121865181792206, 3.40984350053158, 3.4076643218217004, 3.4054600286455883, 3.403290034562334, 3.401270830947737, 3.3993162923037175]",23.480735778808594,20.0
10,20,0.001,1,1e-05,3.476617785246849,0.03347472605160834,0.04093782086889192,0.034130247142087955,0.04268926681799739,"[3.446520649075596, 3.4446266590184234, 3.4425530879011403, 3.4402243297468096, 3.43776829784254, 3.4353912296282663, 3.4331751463842703, 3.4309544498276505, 3.428800026380511, 3.4268768074640503, 3.4249490214455656, 3.4232097440450393, 3.421544641609407, 3.4198318261414977, 3.418296666269622, 3.416802987315543, 3.4154129042656955, 3.41407938055929, 3.412840301600399, 3.4115632393117887]",25.933616399765015,20.0
