Latent_factors,Iterations,Learning_Rate,Regularization,BatchSize,Convergence,RMSE,MRR_5,MRR_10,NDCG_5,NDCG_10,History,Time,IterPerformed
5,2,0.001,1,200,1e-05,3.509351410694072,0.0,0.0,0.010637680594608881,0.010981491016531491,"[3.4475185988964983, 3.4475093992524632]",7.200960159301758,2.0
5,2,0.001,1,400,1e-05,3.5094618634442667,0.0,0.0,0.007980808224074402,0.008426255719626094,"[3.447641514796353, 3.447632861284533]",7.485312223434448,2.0
5,2,0.01,0.01,20,1e-05,3.509488450364563,0.0010604453870625664,0.0010604453870625664,0.010194120014769175,0.009683176362631619,"[3.447624716119936, 3.447552125412787]",6.996619939804077,2.0
5,2,0.01,0.01,100,1e-05,3.509280396162269,0.0,0.0,0.008746640410585432,0.008696047221434878,"[3.447461049778413, 3.4473827431308717]",7.632599830627441,2.0
5,2,0.01,0.01,200,1e-05,3.509305705610166,0.0010604453870625664,0.0010604453870625664,0.010588792370770761,0.010913660855295836,"[3.447470556395059, 3.4474009495066835]",7.225724458694458,2.0
5,2,0.01,0.01,400,1e-05,3.509369665001053,0.0021208907741251328,0.0021208907741251328,0.010639749356925294,0.01085623098471108,"[3.447552738430207, 3.4474772335546895]",7.8531494140625,2.0
5,2,0.01,0.1,20,1e-05,3.5095724126372136,0.0,0.0,0.008813293316412247,0.008305480973283454,"[3.447781530370603, 3.4477066542604344]",7.722632169723511,2.0
5,2,0.01,0.1,100,1e-05,3.5093914436165594,0.0,0.0,0.010591837323579632,0.010654386567091466,"[3.447606518022934, 3.4475316451783713]",7.333503484725952,2.0
5,2,0.01,0.1,200,1e-05,3.509348202910695,0.0,0.0,0.006188694167687579,0.006798660016884115,"[3.4475625215212937, 3.447478262097964]",9.470709562301636,2.0
5,2,0.01,0.1,400,1e-05,3.5093196741133896,0.0,0.0,0.008769733486393205,0.008979355167329894,"[3.4475559827087348, 3.4474784312846074]",8.165722846984863,2.0
5,2,0.01,1,20,1e-05,3.509400440689655,0.0005302226935312832,0.0005302226935312832,0.007732160093442237,0.00791922741033872,"[3.447555609431423, 3.447468074763605]",7.109996557235718,2.0
5,2,0.01,1,100,1e-05,3.5093410121111925,0.0005302226935312832,0.0005302226935312832,0.011331639313055645,0.010686718230502662,"[3.4475384895888506, 3.4474640816615185]",7.362757444381714,2.0
5,2,0.01,1,200,1e-05,3.509380474624968,0.0010604453870625664,0.0010604453870625664,0.007887394789796281,0.008743250522272398,"[3.4476049261272657, 3.4475167877240005]",8.583335638046265,2.0
5,2,0.01,1,400,1e-05,3.50934186213037,0.0010604453870625664,0.0010604453870625664,0.01366828843620668,0.012259903950353477,"[3.4475743398955485, 3.447493141164185]",7.542436838150024,2.0
5,2,0.1,0.01,20,1e-05,3.5090908848417963,0.0,0.0,0.021219186078057336,0.0198456118881092,"[3.44750528525318, 3.446769442604067]",7.267216205596924,2.0
5,2,0.1,0.01,100,1e-05,3.508999421795791,0.0,0.0,0.023208153489594433,0.022215663950795907,"[3.447491544572204, 3.446673926368264]",7.764756917953491,2.0
5,2,0.1,0.01,200,1e-05,3.5091587690315995,0.0002651113467656416,0.0002651113467656416,0.016366641796262918,0.0165958320492912,"[3.447572400353724, 3.4468643929869787]",7.121931314468384,2.0
5,2,0.1,0.01,400,1e-05,3.5090872075098374,0.0012725344644750796,0.0014050901378579003,0.02223579406594121,0.021572482104441865,"[3.447579748118536, 3.4467751172734964]",7.271176099777222,2.0
5,2,0.1,0.1,20,1e-05,3.5090651006136335,0.0005302226935312832,0.0005302226935312832,0.025194859018764736,0.023728394489346785,"[3.447522247986065, 3.4467000003472883]",7.145073890686035,2.0
5,2,0.1,0.1,100,1e-05,3.508860255869759,0.0,0.00015149219815179516,0.01766401049180814,0.01703919580780243,"[3.4474396562518015, 3.446526368101191]",7.983417510986328,2.0
5,2,0.1,0.1,200,1e-05,3.5091013730285283,0.0,0.0,0.018531573673729203,0.01808335462894081,"[3.4475580783038766, 3.446792337450891]",7.15802264213562,2.0
5,2,0.1,0.1,400,1e-05,3.509118500715858,0.0010604453870625664,0.0010604453870625664,0.023004820351048304,0.0205340530981253,"[3.4476430916690797, 3.4467985518385675]",7.839379787445068,2.0
5,2,0.1,1,20,1e-05,3.5089552094867726,0.0,0.0,0.015750693827436192,0.016069048506514624,"[3.4475350382850323, 3.4466241163579676]",7.057111740112305,2.0
5,2,0.1,1,100,1e-05,3.509125313253521,0.0,0.0,0.015733505720261665,0.015005462490205906,"[3.447677759621855, 3.4468314469346204]",7.359987258911133,2.0
5,2,0.1,1,200,1e-05,3.5087980114008746,0.0010604453870625664,0.0010604453870625664,0.019896403234685136,0.017620831931744012,"[3.4474682457437864, 3.4464973439013655]",7.239779472351074,2.0
5,2,0.1,1,400,1e-05,3.5091190481736168,0.0,0.0,0.015646856561566086,0.015943730970589744,"[3.447676705612403, 3.4468103911272636]",7.2461700439453125,2.0
10,2,0.001,0.01,20,1e-05,3.508423824353428,0.0,0.0,0.008871438564343952,0.009186691927510255,"[3.4465781649186082, 3.446570791407877]",7.307876348495483,2.0
10,2,0.001,0.01,100,1e-05,3.5083290396555356,0.0,0.0,0.01070003034446206,0.010300343297836847,"[3.446481105705009, 3.4464731113163554]",7.447565317153931,2.0
10,2,0.001,0.01,200,1e-05,3.508395047170113,0.0,0.0,0.010288875317829675,0.010978867316215541,"[3.4465582284813743, 3.4465512334403674]",7.522579908370972,2.0
10,2,0.001,0.01,400,1e-05,3.508352587704115,0.0,0.0,0.010401967236163111,0.010136064686161175,"[3.4465056572576254, 3.446497461664875]",7.31135892868042,2.0
10,2,0.001,0.1,20,1e-05,3.5083936146652714,0.0,0.0,0.010109373150368531,0.010134609894204121,"[3.44654281856407, 3.4465356782562053]",7.2949628829956055,2.0
10,2,0.001,0.1,100,1e-05,3.5083546305162954,0.0,0.0,0.011815439625180632,0.01132871896636574,"[3.446516284380329, 3.44650865995383]",7.353226900100708,2.0
10,2,0.001,0.1,200,1e-05,3.5083650364661776,0.0,0.0,0.008248759745953358,0.008757830909277673,"[3.4465112704507495, 3.4465029865161703]",8.001513242721558,2.0
10,2,0.001,0.1,400,1e-05,3.5083986052112306,0.0,0.0,0.010072975288535478,0.011257640209558578,"[3.4465488986732216, 3.4465409834777807]",7.576799392700195,2.0
10,2,0.001,1,20,1e-05,3.5083983816743745,0.0,0.0,0.00788710710942827,0.00860819764802514,"[3.4465587055161806, 3.4465521224740883]",8.246578454971313,2.0
10,2,0.001,1,100,1e-05,3.5083387515550273,0.0,0.0,0.009317235242370353,0.009241645940019196,"[3.4464834789923926, 3.4464751466832144]",6.929458379745483,2.0
10,2,0.001,1,200,1e-05,3.508385395533958,0.0,0.0,0.008818344980323122,0.009278843531323439,"[3.4465337965209724, 3.446526080748871]",7.126657962799072,2.0
10,2,0.001,1,400,1e-05,3.5084269135762978,0.0,0.0,0.011462775122461275,0.010347991754415389,"[3.446582076724723, 3.4465740139409866]",7.233630418777466,2.0
10,2,0.01,0.01,20,1e-05,3.5083883933743745,0.0,0.0,0.009241936849856379,0.009842108708465979,"[3.446556026188426, 3.446479619261743]",7.433782339096069,2.0
10,2,0.01,0.01,100,1e-05,3.508344487271221,0.0,0.0,0.010440045353972865,0.010406548078310315,"[3.446539617401023, 3.4464651410478813]",7.1791112422943115,2.0
10,2,0.01,0.01,200,1e-05,3.508338421096539,0.0,0.0,0.01058443226740437,0.01040883698321038,"[3.446494835807527, 3.4464255353781996]",7.141233921051025,2.0
10,2,0.01,0.01,400,1e-05,3.508325104939642,0.0,0.0,0.0065590309091604695,0.007776454879240622,"[3.446502644938078, 3.4464250263958336]",8.763193130493164,2.0
10,2,0.01,0.1,20,1e-05,3.508403919764384,0.0,0.0,0.011858920259135064,0.012538761315975668,"[3.4465817623851893, 3.4464972161764122]",7.2303853034973145,2.0
10,2,0.01,0.1,100,1e-05,3.5083574905647676,0.0,0.0,0.010551093253133838,0.010605368802648693,"[3.446535188027982, 3.4464648861553817]",7.234161376953125,2.0
10,2,0.01,0.1,200,1e-05,3.508388676258367,0.0,0.0,0.013072938776450863,0.01209673306147225,"[3.4465490364081126, 3.4464849377664826]",8.288824081420898,2.0
10,2,0.01,0.1,400,1e-05,3.508421924119744,0.0,0.0,0.008719156814473323,0.0090174490824708,"[3.4465891369636457, 3.4465209482839274]",7.320409774780273,2.0
10,2,0.01,1,20,1e-05,3.5083589774474664,0.0,0.0,0.009286178112371295,0.009855931827399904,"[3.4465445486441757, 3.4464644074303177]",7.57704758644104,2.0
10,2,0.01,1,100,1e-05,3.5083754460633467,0.0,0.0,0.01004080357322568,0.010023645565165051,"[3.446549318054758, 3.446468662493303]",7.232537269592285,2.0
10,2,0.01,1,200,1e-05,3.5083500170861672,0.0,0.0,0.010011688664366794,0.01078709276816801,"[3.4465245841969807, 3.4464501258021616]",7.5721681118011475,2.0
10,2,0.01,1,400,1e-05,3.5083621060044496,0.0,0.0,0.010901782675556257,0.010782649434816374,"[3.44653575017883, 3.4464600058760784]",6.789841175079346,2.0
10,2,0.1,0.01,20,1e-05,3.5080826962684655,0.0,0.0,0.05514653958649079,0.05199419463064486,"[3.4465311291469884, 3.4457383751512753]",7.315147161483765,2.0
